epoch,train_loss,val_loss,val_accuracy,macro_f1
1,1.468082131895908,1.2749387358510218,0.4511627906976744,0.12435897435897433
2,1.294785022181134,1.2647443408189818,0.48372093023255813,0.17594501718213057
3,1.2787707539491875,1.26088556882947,0.49767441860465117,0.2071079308288611
4,1.2759593508964362,1.2973660552224449,0.48372093023255813,0.17612358541404705
5,1.2536053453304972,1.298023111875667,0.4558139534883721,0.1937719423433709
6,1.244316773821217,1.2596745277560035,0.42790697674418604,0.19002951264257797
7,1.2493672930917075,1.2878638153852418,0.4744186046511628,0.1978294573643411
8,1.2539262939793194,1.2553246237510858,0.49767441860465117,0.2185104529616725
9,1.243778076837229,1.3183048533838848,0.4930232558139535,0.19741379310344828
10,1.230646087956983,1.3284175071605415,0.5023255813953489,0.2051815396044201
11,1.2272804639136143,1.3548569465792457,0.49767441860465117,0.20507439791379048
12,1.2043822990831479,1.3285306686578795,0.44651162790697674,0.19615708656067402
13,1.2050478885340137,1.3670382333356281,0.4930232558139535,0.19902071563088514
14,1.194885193285092,1.3183094346246054,0.4697674418604651,0.2060308095706326
15,1.1323823001033575,1.3562264009963634,0.4604651162790698,0.20502793296089386
16,1.1743496416151062,1.3355111332826837,0.4372093023255814,0.19340233902406237
17,1.1477434749751128,1.4296177226443623,0.5023255813953489,0.21689435336976323
18,1.1136958458626918,1.4547474141730818,0.44651162790697674,0.19536953118563072
19,1.152462535218675,1.3945500046707864,0.40930232558139534,0.1939284455813911
20,1.1220086254814798,1.3939888086429861,0.386046511627907,0.190364387174529
